Date;Bullish
9/3/2023;24,83%
16/3/2023;19,22%
23/3/2023;20,95%
30/3/2023;22,51%
6/4/2023;33,33%
13/4/2023;26,05%
20/4/2023;27,22%
27/4/2023;24,14%
4/5/2023;24,08%
11/5/2023;29,39%
18/5/2023;22,90%
25/5/2023;27,38%
1/6/2023;29,05%
8/6/2023;44,55%
15/6/2023;45,18%
22/6/2023;42,86%
29/6/2023;41,93%
6/7/2023;46,39%
13/7/2023;41,00%
20/7/2023;51,36%
27/7/2023;44,91%
3/8/2023;48,98%
10/8/2023;44,70%
17/8/2023;35,89%
24/8/2023;32,27%
31/8/2023;33,09%
7/9/2023;42,19%
14/9/2023;34,42%
21/9/2023;31,30%
28/9/2023;27,79%
5/10/2023;30,10%
12/10/2023;40,00%
19/10/2023;34,07%
26/10/2023;29,28%
2/11/2023;24,31%
9/11/2023;42,60%
16/11/2023;43,78%
23/11/2023;45,30%
30/11/2023;48,76%
7/12/2023;47,31%
14/12/2023;51,30%
21/12/2023;52,92%
28/12/2023;46,33%
4/1/2024;48,56%
11/1/2024;48,59%
18/1/2024;40,38%
25/1/2024;39,27%
1/2/2024;49,07%
8/2/2024;49,03%
15/2/2024;42,17%
22/2/2024;44,28%
29/2/2024;46,50%
7/3/2024;51,74%
14/3/2024;45,90%
21/3/2024;43,20%
28/3/2024;50,00%
4/4/2024;47,29%
11/4/2024;43,44%
18/4/2024;38,27%
25/4/2024;32,13%
2/5/2024;38,49%
9/5/2024;40,82%
16/5/2024;40,86%
23/5/2024;47,04%
30/5/2024;39,04%
6/6/2024;38,97%
13/6/2024;44,59%
20/6/2024;44,37%
27/6/2024;44,49%
4/7/2024;41,74%
11/7/2024;49,18%
18/7/2024;52,75%
25/7/2024;43,17%
1/8/2024;44,88%
8/8/2024;40,54%
15/8/2024;42,54%
22/8/2024;51,61%
29/8/2024;51,16%
5/9/2024;45,33%
12/9/2024;39,80%
19/9/2024;50,83%
26/9/2024;49,62%
3/10/2024;45,45%
10/10/2024;49,01%
17/10/2024;45,45%
24/10/2024;37,70%
31/10/2024;39,49%
7/11/2024;41,54%
14/11/2024;49,84%
21/11/2024;41,29%
28/11/2024;37,05%
5/12/2024;48,33%
12/12/2024;43,33%
19/12/2024;40,71%
26/12/2024;37,80%
2/1/2025;35,44%
9/1/2025;34,67%
16/1/2025;25,43%
23/1/2025;43,43%
30/1/2025;40,96%
6/2/2025;33,33%
13/2/2025;28,42%
20/2/2025;29,19%
27/2/2025;19,38%
6/3/2025;19,33%
13/3/2025;19,11%
20/3/2025;21,58%
27/3/2025;27,42%
3/4/2025;21,76%
10/4/2025;28,52%
17/4/2025;25,44%
24/4/2025;21,94%
1/5/2025;20,94%
8/5/2025;29,45%
15/5/2025;35,93%
22/5/2025;37,70%
29/5/2025;32,89%
5/6/2025;32,66%
12/6/2025;36,67%
19/6/2025;33,21%
26/6/2025;35,07%
3/7/2025;45,02%
10/7/2025;41,38%
17/7/2025;39,27%
24/07/2025;36,78%
30/07/2025;40,30%
06/08/2025;34,90%
13/08/2025;29,90%
20/8/2025;30,80%
27/8/2025;34,60%
3/9/2025;32,70%
10/9/2025;28,00%
17/9/2025;41,70%
24/9/2025;41,70%
1/10/2025;42,90%
8/10/2025;45,90%
15/10/2025;33,70%
22/10/2025;36,90%
29/10/2025;44,00%
5/11/2025;38,00%
12/11/2025;31,60%
19/11/2025;32,60%
26/11/2025;32,00%
3/12/2025;44,30%
10/12/2025;44,60%
17/12/2025;44,14%
24/12/2024;37,4%;
31/12/2025;42,00%;
07/01/2026;42,50%;
14/01/2026;49,50%;
21/01/2026;43,20%;
28/01/2026;44,4%;
04/02/2026;39,7%;
11/02/2026;38,5%;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
